display_status,product_id,parent_product_id,product_name,sku,variant_options,price,currency,quantity_available,stock_availability_status,restock_threshold,product_type,product_url_slug,product_short_description,product_description,product_images,meta_title,meta_description,primary_keyword,image_alt_text,product_rating,review_count,discount_price,cost_price,return_policy,product_dimensions,product_weight,stock_location,supplier_name,additional_details,shipping_cost,shipping_time_eta,shipping_regions
ComingSoon,bx014-fabric-textured,bx014,boxes_14,bx-014-fabric-textured,material:fabric | finish:textured,19.15,EUR,4,In Stock,1,boxes,boxes-14-fabric-textured,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx014-fabric-textured+1 | https://placehold.co/600x600?text=bx014-fabric-textured+2 | https://placehold.co/600x600?text=bx014-fabric-textured+3 | https://placehold.co/600x600?text=bx014-fabric-textured+4,Boxes Product,Buy premium boxes online,boxes,boxes image,4.7,155,,12.22,30 day return,13 x 7 x 4 in,6.46 lb,Jamarko Warehouse,Jamarko,- Material: leather - Dimensions: 6 x 9 x 8 in - Weight: 10.26 lb - Options: material:fabric | finish:textured - High-quality boxes product,5.34,6 days,Nepal
Draft,bx014-leather-matte,bx014,boxes_14,bx-014-leather-matte,material:leather | finish:matte,14.74,EUR,14,In Stock,,boxes,boxes-14-leather-matte,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx014-leather-matte+1 | https://placehold.co/600x600?text=bx014-leather-matte+2 | https://placehold.co/600x600?text=bx014-leather-matte+3,Boxes Product,Buy premium boxes online,boxes,boxes image,4.4,287,,11.29,30 day return,10 x 8 x 1 in,1.03 lb,Jamarko Retail Store A,Jamarko,- Material: metal - Dimensions: 17 x 10 x 1 in - Weight: 4.39 lb - Options: material:leather | finish:matte - High-quality boxes product,5.34,6 days,Nepal
OutOfStock,bx014-leather-glossy,bx014,boxes_14,bx-014-leather-glossy,material:leather | finish:glossy,15.3,EUR,20,In Stock,,boxes,boxes-14-leather-glossy,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx014-leather-glossy+1 | https://placehold.co/600x600?text=bx014-leather-glossy+2,Boxes Product,Buy premium boxes online,boxes,boxes image,4.6,209,,11.9,30 day return,7 x 16 x 7 in,13.57 lb,Jamarko Retail Store A,Jamarko,- Material: fabric - Dimensions: 5 x 16 x 7 in - Weight: 5.83 lb - Options: material:leather | finish:glossy - High-quality boxes product,5.34,6 days,Nepal
Draft,bx015,,boxes_15,bx-015,,12.63,INR,43,In Stock,,boxes,boxes-15,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx015+1 | https://placehold.co/600x600?text=bx015+2 | https://placehold.co/600x600?text=bx015+3,Boxes Product,Buy premium boxes online,boxes,boxes image,4.4,145,,9.88,30 day return,16 x 11 x 2 in,11.14 lb,Jamarko Retail Store B,Jamarko,- Material: linen - Dimensions: 19 x 3 x 10 in - Weight: 6.88 lb - High-quality boxes product,13.99,5 days,Nepal
Archived,bx015-wood,bx015,boxes_15,bx-015-wood,material:wood,13.53,INR,15,In Stock,5,boxes,boxes-15-wood,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx015-wood+1 | https://placehold.co/600x600?text=bx015-wood+2 | https://placehold.co/600x600?text=bx015-wood+3 | https://placehold.co/600x600?text=bx015-wood+4,Boxes Product,Buy premium boxes online,boxes,boxes image,4.3,182,,7.12,30 day return,18 x 11 x 4 in,4.59 lb,Jamarko Retail Store A,Jamarko,- Material: fabric - Dimensions: 10 x 19 x 4 in - Weight: 14.8 lb - Options: material:wood - High-quality boxes product,13.99,5 days,Nepal
OutOfStock,bx015-paper,bx015,boxes_15,bx-015-paper,material:paper,12.23,INR,8,In Stock,2,boxes,boxes-15-paper,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx015-paper+1 | https://placehold.co/600x600?text=bx015-paper+2 | https://placehold.co/600x600?text=bx015-paper+3,Boxes Product,Buy premium boxes online,boxes,boxes image,4.9,192,,6.38,30 day return,11 x 4 x 7 in,11.51 lb,Jamarko Retail Store A,Jamarko,- Material: fabric - Dimensions: 3 x 18 x 3 in - Weight: 5.22 lb - Options: material:paper - High-quality boxes product,13.99,5 days,Nepal
Unpublished,bx015-linen,bx015,boxes_15,bx-015-linen,material:linen,11.66,INR,20,In Stock,7,boxes,boxes-15-linen,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx015-linen+1 | https://placehold.co/600x600?text=bx015-linen+2,Boxes Product,Buy premium boxes online,boxes,boxes image,4.6,198,,9.08,30 day return,16 x 13 x 9 in,11.23 lb,Jamarko Warehouse,Jamarko,- Material: fabric - Dimensions: 13 x 7 x 2 in - Weight: 10.84 lb - Options: material:linen - High-quality boxes product,13.99,5 days,Nepal
Archived,pf016,,photo_frames_16,pf-016,,29.24,CAD,42,In Stock,11,photo_frames,photo-frames-16,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf016+1 | https://placehold.co/600x600?text=pf016+2 | https://placehold.co/600x600?text=pf016+3 | https://placehold.co/600x600?text=pf016+4,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.9,70,,17.44,30 day return,17 x 6 x 5 in,6.49 lb,Jamarko Warehouse,Jamarko,- Material: paper - Dimensions: 8 x 14 x 6 in - Weight: 5.97 lb - High-quality photo frames product,14.67,13 days,Nepal
Published,pf016-a4,pf016,photo_frames_16,pf-016-a4,size:a4,32.72,CAD,20,In Stock,4,photo_frames,photo-frames-16-a4,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf016-a4+1 | https://placehold.co/600x600?text=pf016-a4+2,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.9,76,,20.83,30 day return,19 x 5 x 7 in,7.49 lb,Jamarko Warehouse,Jamarko,- Material: metal - Dimensions: 6 x 6 x 8 in - Weight: 7.48 lb - Options: size:a4 - High-quality photo frames product,14.67,13 days,Nepal
PreOrder,pf016-small,pf016,photo_frames_16,pf-016-small,size:small,29.71,CAD,16,In Stock,5,photo_frames,photo-frames-16-small,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf016-small+1 | https://placehold.co/600x600?text=pf016-small+2,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.5,232,23.37,17.73,30 day return,5 x 8 x 10 in,7.65 lb,Jamarko Retail Store B,Jamarko,- Material: wood - Dimensions: 15 x 8 x 1 in - Weight: 6.9 lb - Options: size:small - High-quality photo frames product,14.67,13 days,Nepal
PreOrder,pf016-large,pf016,photo_frames_16,pf-016-large,size:large,32.43,CAD,6,In Stock,2,photo_frames,photo-frames-16-large,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf016-large+1 | https://placehold.co/600x600?text=pf016-large+2 | https://placehold.co/600x600?text=pf016-large+3,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.8,98,,16.56,30 day return,9 x 7 x 7 in,9.1 lb,Jamarko Retail Store A,Jamarko,- Material: linen - Dimensions: 14 x 14 x 4 in - Weight: 2.36 lb - Options: size:large - High-quality photo frames product,14.67,13 days,Nepal
Published,ls017,,lampshades_17,ls-017,,12.9,USD,35,In Stock,,lampshades,lampshades-17,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls017+1 | https://placehold.co/600x600?text=ls017+2,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.8,294,,9.44,30 day return,18 x 17 x 4 in,3.11 lb,Jamarko Retail Store A,Jamarko,- Material: paper - Dimensions: 13 x 7 x 10 in - Weight: 4.8 lb - High-quality lampshades product,10.28,11 days,Nepal
ComingSoon,ls017-blue-geometric,ls017,lampshades_17,ls-017-blue-geometric,color:blue | pattern:geometric,14.28,USD,9,In Stock,3,lampshades,lampshades-17-blue-geometric,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls017-blue-geometric+1 | https://placehold.co/600x600?text=ls017-blue-geometric+2 | https://placehold.co/600x600?text=ls017-blue-geometric+3,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.4,216,11.22,11.16,30 day return,20 x 6 x 6 in,13.29 lb,Jamarko Retail Store A,Jamarko,- Material: linen - Dimensions: 12 x 5 x 1 in - Weight: 9.93 lb - Options: color:blue | pattern:geometric - High-quality lampshades product,10.28,11 days,Nepal
Archived,ls017-green-geometric,ls017,lampshades_17,ls-017-green-geometric,color:green | pattern:geometric,13.19,USD,10,In Stock,2,lampshades,lampshades-17-green-geometric,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls017-green-geometric+1 | https://placehold.co/600x600?text=ls017-green-geometric+2 | https://placehold.co/600x600?text=ls017-green-geometric+3 | https://placehold.co/600x600?text=ls017-green-geometric+4,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.3,147,,8.17,30 day return,11 x 12 x 10 in,7.77 lb,Jamarko Retail Store B,Jamarko,- Material: leather - Dimensions: 7 x 10 x 5 in - Weight: 6.71 lb - Options: color:green | pattern:geometric - High-quality lampshades product,10.28,11 days,Nepal
PreOrder,ls017-green-striped,ls017,lampshades_17,ls-017-green-striped,color:green | pattern:striped,14.9,USD,16,In Stock,5,lampshades,lampshades-17-green-striped,High quality lampshades,High quality lampshades with multiple variants.,https://placehold.co/600x600?text=ls017-green-striped+1 | https://placehold.co/600x600?text=ls017-green-striped+2 | https://placehold.co/600x600?text=ls017-green-striped+3 | https://placehold.co/600x600?text=ls017-green-striped+4,Lampshades Product,Buy premium lampshades online,lampshades,lampshades image,4.5,145,,8.52,30 day return,10 x 14 x 3 in,4.16 lb,Jamarko Retail Store B,Jamarko,- Material: metal - Dimensions: 19 x 6 x 4 in - Weight: 12.86 lb - Options: color:green | pattern:striped - High-quality lampshades product,10.28,11 days,Nepal
Draft,nb018,,notebooks_18,nb-018,,23.26,EUR,44,In Stock,,notebooks,notebooks-18,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb018+1 | https://placehold.co/600x600?text=nb018+2 | https://placehold.co/600x600?text=nb018+3 | https://placehold.co/600x600?text=nb018+4,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.4,241,,18.01,30 day return,18 x 7 x 1 in,2.26 lb,Jamarko Retail Store A,Jamarko,- Material: paper - Dimensions: 17 x 11 x 6 in - Weight: 11.72 lb - High-quality notebooks product,5.22,4 days,Nepal
PreOrder,nb018-large,nb018,notebooks_18,nb-018-large,size:large,22.3,EUR,16,In Stock,,notebooks,notebooks-18-large,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb018-large+1 | https://placehold.co/600x600?text=nb018-large+2 | https://placehold.co/600x600?text=nb018-large+3,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.6,169,,16.68,30 day return,9 x 4 x 9 in,14.15 lb,Jamarko Warehouse,Jamarko,- Material: metal - Dimensions: 18 x 15 x 8 in - Weight: 11.26 lb - Options: size:large - High-quality notebooks product,5.22,4 days,Nepal
OutOfStock,nb018-a4,nb018,notebooks_18,nb-018-a4,size:a4,26,EUR,8,In Stock,2,notebooks,notebooks-18-a4,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb018-a4+1 | https://placehold.co/600x600?text=nb018-a4+2,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.6,279,,17.45,30 day return,5 x 9 x 6 in,1.46 lb,Jamarko Retail Store A,Jamarko,- Material: wood - Dimensions: 5 x 8 x 6 in - Weight: 4.95 lb - Options: size:a4 - High-quality notebooks product,5.22,4 days,Nepal
Archived,nb018-medium,nb018,notebooks_18,nb-018-medium,size:medium,25.44,EUR,20,In Stock,5,notebooks,notebooks-18-medium,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb018-medium+1 | https://placehold.co/600x600?text=nb018-medium+2,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.7,148,,17.51,30 day return,18 x 10 x 3 in,4.1 lb,Jamarko Warehouse,Jamarko,- Material: fabric - Dimensions: 3 x 6 x 3 in - Weight: 7.73 lb - Options: size:medium - High-quality notebooks product,5.22,4 days,Nepal
ComingSoon,ps019,,pencils_19,ps-019,,5.3,NPR,0,Out of Stock,1,pencils,pencils-19,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps019+1 | https://placehold.co/600x600?text=ps019+2 | https://placehold.co/600x600?text=ps019+3 | https://placehold.co/600x600?text=ps019+4 | https://placehold.co/600x600?text=ps019+5,Pencils Product,Buy premium pencils online,pencils,pencils image,4.5,197,,3.15,30 day return,20 x 8 x 10 in,14.56 lb,Jamarko Retail Store A,Jamarko,- Material: paper - Dimensions: 15 x 15 x 4 in - Weight: 9.8 lb - High-quality pencils product,12.93,9 days,Nepal
Draft,bx020,,boxes_20,bx-020,,28.24,CAD,13,In Stock,,boxes,boxes-20,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx020+1 | https://placehold.co/600x600?text=bx020+2 | https://placehold.co/600x600?text=bx020+3,Boxes Product,Buy premium boxes online,boxes,boxes image,4.3,228,,16.51,30 day return,11 x 14 x 9 in,2.42 lb,Jamarko Warehouse,Jamarko,- Material: linen - Dimensions: 9 x 9 x 4 in - Weight: 15.0 lb - High-quality boxes product,2.34,4 days,Nepal
ComingSoon,bx020-white-plain,bx020,boxes_20,bx-020-white-plain,color:white | pattern:plain,33,CAD,5,In Stock,,boxes,boxes-20-white-plain,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx020-white-plain+1 | https://placehold.co/600x600?text=bx020-white-plain+2,Boxes Product,Buy premium boxes online,boxes,boxes image,4.6,287,,21.2,30 day return,15 x 10 x 2 in,6.47 lb,Jamarko Retail Store A,Jamarko,- Material: paper - Dimensions: 12 x 8 x 5 in - Weight: 14.45 lb - Options: color:white | pattern:plain - High-quality boxes product,2.34,4 days,Nepal
Published,bx020-brown-floral,bx020,boxes_20,bx-020-brown-floral,color:brown | pattern:floral,32.55,CAD,0,Out of Stock,1,boxes,boxes-20-brown-floral,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx020-brown-floral+1 | https://placehold.co/600x600?text=bx020-brown-floral+2 | https://placehold.co/600x600?text=bx020-brown-floral+3 | https://placehold.co/600x600?text=bx020-brown-floral+4,Boxes Product,Buy premium boxes online,boxes,boxes image,4.3,230,,22.76,30 day return,19 x 15 x 9 in,11.4 lb,Jamarko Retail Store B,Jamarko,- Material: linen - Dimensions: 5 x 11 x 7 in - Weight: 9.95 lb - Options: color:brown | pattern:floral - High-quality boxes product,2.34,4 days,Nepal
Archived,bx020-brown-striped,bx020,boxes_20,bx-020-brown-striped,color:brown | pattern:striped,33.49,CAD,8,In Stock,,boxes,boxes-20-brown-striped,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx020-brown-striped+1 | https://placehold.co/600x600?text=bx020-brown-striped+2 | https://placehold.co/600x600?text=bx020-brown-striped+3 | https://placehold.co/600x600?text=bx020-brown-striped+4,Boxes Product,Buy premium boxes online,boxes,boxes image,4.6,64,,17.75,30 day return,6 x 3 x 1 in,6.11 lb,Jamarko Warehouse,Jamarko,- Material: paper - Dimensions: 8 x 18 x 4 in - Weight: 12.76 lb - Options: color:brown | pattern:striped - High-quality boxes product,2.34,4 days,Nepal
PreOrder,jb021,,jewelry_boxes_21,jb-021,,18.14,USD,28,In Stock,,jewelry_boxes,jewelry-boxes-21,High quality jewelry boxes,High quality jewelry boxes with multiple variants.,https://placehold.co/600x600?text=jb021+1 | https://placehold.co/600x600?text=jb021+2 | https://placehold.co/600x600?text=jb021+3,Jewelry_Boxes Product,Buy premium jewelry_boxes online,jewelry_boxes,jewelry_boxes image,4.7,229,,9.64,30 day return,5 x 17 x 3 in,10.85 lb,Jamarko Retail Store A,Jamarko,- Material: paper - Dimensions: 4 x 5 x 1 in - Weight: 10.2 lb - High-quality jewelry boxes product,3.32,13 days,Nepal
Published,jb021-beige,jb021,jewelry_boxes_21,jb-021-beige,color:beige,20.42,USD,5,In Stock,1,jewelry_boxes,jewelry-boxes-21-beige,High quality jewelry boxes,High quality jewelry boxes with multiple variants.,https://placehold.co/600x600?text=jb021-beige+1 | https://placehold.co/600x600?text=jb021-beige+2 | https://placehold.co/600x600?text=jb021-beige+3,Jewelry_Boxes Product,Buy premium jewelry_boxes online,jewelry_boxes,jewelry_boxes image,4.4,141,,13.03,30 day return,4 x 9 x 10 in,1.98 lb,Jamarko Retail Store A,Jamarko,- Material: fabric - Dimensions: 9 x 12 x 7 in - Weight: 6.3 lb - Options: color:beige - High-quality jewelry boxes product,3.32,13 days,Nepal
OutOfStock,jb021-brown,jb021,jewelry_boxes_21,jb-021-brown,color:brown,19.43,USD,6,In Stock,,jewelry_boxes,jewelry-boxes-21-brown,High quality jewelry boxes,High quality jewelry boxes with multiple variants.,https://placehold.co/600x600?text=jb021-brown+1 | https://placehold.co/600x600?text=jb021-brown+2 | https://placehold.co/600x600?text=jb021-brown+3,Jewelry_Boxes Product,Buy premium jewelry_boxes online,jewelry_boxes,jewelry_boxes image,4.9,273,16.64,10.98,30 day return,9 x 14 x 3 in,1.74 lb,Jamarko Retail Store A,Jamarko,- Material: wood - Dimensions: 5 x 15 x 3 in - Weight: 12.31 lb - Options: color:brown - High-quality jewelry boxes product,3.32,13 days,Nepal
Archived,jb021-black,jb021,jewelry_boxes_21,jb-021-black,color:black,19.29,USD,17,In Stock,,jewelry_boxes,jewelry-boxes-21-black,High quality jewelry boxes,High quality jewelry boxes with multiple variants.,https://placehold.co/600x600?text=jb021-black+1 | https://placehold.co/600x600?text=jb021-black+2 | https://placehold.co/600x600?text=jb021-black+3 | https://placehold.co/600x600?text=jb021-black+4,Jewelry_Boxes Product,Buy premium jewelry_boxes online,jewelry_boxes,jewelry_boxes image,4.4,11,17.34,10.73,30 day return,4 x 15 x 2 in,1.51 lb,Jamarko Warehouse,Jamarko,- Material: fabric - Dimensions: 9 x 15 x 8 in - Weight: 2.67 lb - Options: color:black - High-quality jewelry boxes product,3.32,13 days,Nepal
ComingSoon,pf022,,photo_frames_22,pf-022,,15.79,INR,0,Preorder,1,photo_frames,photo-frames-22,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf022+1 | https://placehold.co/600x600?text=pf022+2 | https://placehold.co/600x600?text=pf022+3,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.7,250,,12.24,30 day return,6 x 18 x 7 in,6.98 lb,Jamarko Retail Store B,Jamarko,- Material: wood - Dimensions: 9 x 12 x 6 in - Weight: 9.11 lb - High-quality photo frames product,5.67,8 days,Nepal
ComingSoon,ps023,,pencils_23,ps-023,,16.36,CAD,28,In Stock,10,pencils,pencils-23,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps023+1 | https://placehold.co/600x600?text=ps023+2 | https://placehold.co/600x600?text=ps023+3 | https://placehold.co/600x600?text=ps023+4,Pencils Product,Buy premium pencils online,pencils,pencils image,4.6,193,,11.69,30 day return,11 x 7 x 1 in,9.28 lb,Jamarko Retail Store A,Jamarko,- Material: paper - Dimensions: 20 x 5 x 2 in - Weight: 4.28 lb - High-quality pencils product,12.36,5 days,Nepal
Published,ps023-plain,ps023,pencils_23,ps-023-plain,pattern:plain,17.29,CAD,9,In Stock,,pencils,pencils-23-plain,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps023-plain+1 | https://placehold.co/600x600?text=ps023-plain+2,Pencils Product,Buy premium pencils online,pencils,pencils image,4.9,147,,12.95,30 day return,15 x 17 x 1 in,8.23 lb,Jamarko Warehouse,Jamarko,- Material: wood - Dimensions: 15 x 5 x 7 in - Weight: 12.28 lb - Options: pattern:plain - High-quality pencils product,12.36,5 days,Nepal
Draft,ps023-geometric,ps023,pencils_23,ps-023-geometric,pattern:geometric,17.44,CAD,4,In Stock,,pencils,pencils-23-geometric,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps023-geometric+1 | https://placehold.co/600x600?text=ps023-geometric+2,Pencils Product,Buy premium pencils online,pencils,pencils image,4.5,15,,11.58,30 day return,4 x 19 x 1 in,2.61 lb,Jamarko Retail Store A,Jamarko,- Material: metal - Dimensions: 19 x 17 x 9 in - Weight: 1.44 lb - Options: pattern:geometric - High-quality pencils product,12.36,5 days,Nepal
OutOfStock,ps023-striped,ps023,pencils_23,ps-023-striped,pattern:striped,15.32,CAD,15,In Stock,5,pencils,pencils-23-striped,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps023-striped+1 | https://placehold.co/600x600?text=ps023-striped+2,Pencils Product,Buy premium pencils online,pencils,pencils image,4.9,251,,8.7,30 day return,13 x 6 x 8 in,8.27 lb,Jamarko Retail Store B,Jamarko,- Material: metal - Dimensions: 8 x 12 x 10 in - Weight: 2.74 lb - Options: pattern:striped - High-quality pencils product,12.36,5 days,Nepal
Draft,gc024,,greeting_cards_24,gc-024,,13.12,AUD,0,Preorder,1,greeting_cards,greeting-cards-24,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc024+1 | https://placehold.co/600x600?text=gc024+2,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.4,215,,8.34,30 day return,15 x 7 x 5 in,2.99 lb,Jamarko Warehouse,Jamarko,- Material: linen - Dimensions: 12 x 9 x 10 in - Weight: 11.06 lb - High-quality greeting cards product,14.95,13 days,Nepal
Draft,gc025,,greeting_cards_25,gc-025,,19.36,AUD,34,In Stock,8,greeting_cards,greeting-cards-25,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc025+1 | https://placehold.co/600x600?text=gc025+2 | https://placehold.co/600x600?text=gc025+3 | https://placehold.co/600x600?text=gc025+4,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.3,191,,12.38,30 day return,13 x 13 x 8 in,2.0 lb,Jamarko Retail Store B,Jamarko,- Material: metal - Dimensions: 7 x 11 x 8 in - Weight: 4.64 lb - High-quality greeting cards product,5.39,6 days,Nepal
Draft,gc025-white-geometric,gc025,greeting_cards_25,gc-025-white-geometric,color:white | pattern:geometric,21.93,AUD,15,In Stock,3,greeting_cards,greeting-cards-25-white-geometric,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc025-white-geometric+1 | https://placehold.co/600x600?text=gc025-white-geometric+2,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.7,158,,11.63,30 day return,10 x 11 x 4 in,2.07 lb,Jamarko Warehouse,Jamarko,- Material: leather - Dimensions: 6 x 14 x 5 in - Weight: 4.87 lb - Options: color:white | pattern:geometric - High-quality greeting cards product,5.39,6 days,Nepal
PreOrder,gc025-brown-striped,gc025,greeting_cards_25,gc-025-brown-striped,color:brown | pattern:striped,18.52,AUD,15,In Stock,4,greeting_cards,greeting-cards-25-brown-striped,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc025-brown-striped+1 | https://placehold.co/600x600?text=gc025-brown-striped+2 | https://placehold.co/600x600?text=gc025-brown-striped+3 | https://placehold.co/600x600?text=gc025-brown-striped+4,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.3,209,16.21,14.31,30 day return,12 x 9 x 9 in,6.38 lb,Jamarko Retail Store A,Jamarko,- Material: wood - Dimensions: 16 x 13 x 10 in - Weight: 5.62 lb - Options: color:brown | pattern:striped - High-quality greeting cards product,5.39,6 days,Nepal
Published,gc025-white-plain,gc025,greeting_cards_25,gc-025-white-plain,color:white | pattern:plain,23.09,AUD,4,In Stock,,greeting_cards,greeting-cards-25-white-plain,High quality greeting cards,High quality greeting cards with multiple variants.,https://placehold.co/600x600?text=gc025-white-plain+1 | https://placehold.co/600x600?text=gc025-white-plain+2 | https://placehold.co/600x600?text=gc025-white-plain+3,Greeting_Cards Product,Buy premium greeting_cards online,greeting_cards,greeting_cards image,4.2,53,,17.88,30 day return,14 x 13 x 9 in,13.11 lb,Jamarko Retail Store A,Jamarko,- Material: wood - Dimensions: 17 x 18 x 8 in - Weight: 1.67 lb - Options: color:white | pattern:plain - High-quality greeting cards product,5.39,6 days,Nepal
Published,nb026,,notebooks_26,nb-026,,19.71,EUR,20,In Stock,4,notebooks,notebooks-26,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb026+1 | https://placehold.co/600x600?text=nb026+2 | https://placehold.co/600x600?text=nb026+3,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.3,227,,12.11,30 day return,10 x 11 x 3 in,6.46 lb,Jamarko Retail Store B,Jamarko,- Material: fabric - Dimensions: 19 x 15 x 3 in - Weight: 11.99 lb - High-quality notebooks product,3.51,5 days,Nepal
Draft,nb026-a5-green,nb026,notebooks_26,nb-026-a5-green,size:a5 | color:green,19.06,EUR,2,In Stock,1,notebooks,notebooks-26-a5-green,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb026-a5-green+1 | https://placehold.co/600x600?text=nb026-a5-green+2 | https://placehold.co/600x600?text=nb026-a5-green+3,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.7,32,,11.12,30 day return,19 x 10 x 8 in,13.35 lb,Jamarko Retail Store B,Jamarko,- Material: paper - Dimensions: 20 x 8 x 1 in - Weight: 8.27 lb - Options: size:a5 | color:green - High-quality notebooks product,3.51,5 days,Nepal
Published,nb026-a5-white,nb026,notebooks_26,nb-026-a5-white,size:a5 | color:white,18.38,EUR,0,Preorder,,notebooks,notebooks-26-a5-white,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb026-a5-white+1 | https://placehold.co/600x600?text=nb026-a5-white+2 | https://placehold.co/600x600?text=nb026-a5-white+3 | https://placehold.co/600x600?text=nb026-a5-white+4,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.7,255,,9.72,30 day return,19 x 18 x 7 in,1.88 lb,Jamarko Retail Store A,Jamarko,- Material: wood - Dimensions: 20 x 13 x 7 in - Weight: 14.27 lb - Options: size:a5 | color:white - High-quality notebooks product,3.51,5 days,Nepal
PreOrder,nb026-small-blue,nb026,notebooks_26,nb-026-small-blue,size:small | color:blue,23.36,EUR,18,In Stock,4,notebooks,notebooks-26-small-blue,High quality notebooks,High quality notebooks with multiple variants.,https://placehold.co/600x600?text=nb026-small-blue+1 | https://placehold.co/600x600?text=nb026-small-blue+2 | https://placehold.co/600x600?text=nb026-small-blue+3,Notebooks Product,Buy premium notebooks online,notebooks,notebooks image,4.3,15,,16.25,30 day return,13 x 18 x 5 in,2.92 lb,Jamarko Warehouse,Jamarko,- Material: wood - Dimensions: 9 x 15 x 4 in - Weight: 3.17 lb - Options: size:small | color:blue - High-quality notebooks product,3.51,5 days,Nepal
Draft,jb027,,jewelry_boxes_27,jb-027,,33.33,AUD,19,In Stock,6,jewelry_boxes,jewelry-boxes-27,High quality jewelry boxes,High quality jewelry boxes with multiple variants.,https://placehold.co/600x600?text=jb027+1 | https://placehold.co/600x600?text=jb027+2 | https://placehold.co/600x600?text=jb027+3 | https://placehold.co/600x600?text=jb027+4,Jewelry_Boxes Product,Buy premium jewelry_boxes online,jewelry_boxes,jewelry_boxes image,4.6,93,,25.2,30 day return,20 x 13 x 10 in,7.52 lb,Jamarko Warehouse,Jamarko,- Material: leather - Dimensions: 5 x 5 x 1 in - Weight: 6.78 lb - High-quality jewelry boxes product,10.99,5 days,Nepal
